Income,Black or African American,Hispanic or Latino 
"0 - $10,000",95020,29841
"$10,000 - $14,999",51170,17477
"$15,000 - $19,999",42418,21063
"$20,000 -  $24,999",43671,28752
"$25,000 - $29,999",38838,30622
"$30,000 -  $34,999",35070,29776
"$35,000 -  $39,999",31220,26837
"$40,000 - $44,999",30809,30108
"$45,000 - $49,999",27233,24454
"$50,000 - $59,999",51273,50668
"$60,000 - $74,999",63839,68309
"$75,000 - $99,999",73668,90544
"$100,000 - $124,999",49729,62234
"$125,000 - $149,999",30734,39649
"$150,000 - $199,999",30421,37184
"$200,000 +",24712,28789
