Country,Area(s),Age Range,Study Years,Sample Size,Number of Cases,"ASD Prevalence Estimate per 1,000",Diagnosis Age Range (months),Diagnosis Mean Age (months),Diagnosis Median Age (months),Non-Verbal or Minimally Verbal (%),Autism Types Included
England,County of Middlesex,8 to 10,1964,"78,000",35,0.45,,,,59,autistic conditions
USA,Wisconsin,2 to 12,1962-1967,"899,750",69,0.077,,,,,classic infantile autism
Denmark,èarhus County,2 to 14,1962,"46,500",20,0.43,,,,,autistic syndrome
England,Camberwall,5 to 14,1974,"25,000",12,4.48,,,,,early childhood autism
England,Camberwell,0 to 14,1970,"35,000",17,0.49,,,,59,autism
Japan,Fukushima-ken,0 to 17,1977-1979,"609,848",320,0.525,,,,,"early infantile autism, autistic mental retardation"
Sweden,VÑsterbotten County,0 to 20,1979,"69,000",39,0.56,,,,,early infantile autism
Ireland,East,8 to 10,1979,"65,000",28,0.43,,,,54,childhood autism
Sweden,Gothenburg,4 to 18,1980,"128,584",26,0.2,,,,,infantile autism
Germany,West Berlin,0 to 14,1978-1982,"279,616",52,0.19,,,,,infantile autism
Sweden,Gothenburg; BohuslÑn,0 to 10,1984,"78,413",35,0.66,,,,,"infantile autism, autistic-like conditions"
Japan,Kurume,4 to 12,1983,"32,834",51,1.55,,,,,infantile autism
USA,North Dakota,2 to 18,1985,"180,986",59,0.33,,,,,"infantile autism, childhood onset PDD, atypial PDD, all PDD"
Canada,Nova Scotia,6 to 14,1985,"20,800",21,1.01,,,,19,autism
Japan,Southern Ibaraki,7,1977-1985,"95,394",132,1.38,,,,,infantile autism
France,Rhìne,3 to 9,1986,"135,180",61,0.45,,,,,"simple autism, autism with major neurological abnormalities"
Japan,Nagoya,1.5 to 5 .5,1979-1984,"12,263",16,1.3,,,,,autism
USA,Utah,8 to 12,1984-1988,"184,822",66,0.357,,,,,autism syndrome
Sweden,Gîteborg; BohuslÑn,4 to 13,1988,"78,106",74,0.95,,,,,"autistic disorder, autistic-like conditions"
Indonesia,Yogyakart,4 to 7,1991,"5,120",6,1.2,,,,50,autism
France,Aquitaine; Ile-de-France; Lorraine; Picardie,9 to 13,1985,"274,816",154,0.49,,,,,infantile autism
Japan,Yokohama,5,1994,"8,537",18,2.11,,,,,childhood autism
France,Haute-Garonne; Isäre; Saìne-et-Loire,6 to 16,1992-1993,"325,347",174,0.54,,,,,infantile autism
Sweden,Mîlnlycke,3 to 6,1994,"1,941",9,4.6,,,,,"childhood autism, early infantile autism, autism-like conditions"
Wales,South Glamorgan,3 to 15,1992,"73,300",53,0.72,,,,,autistic disorder
Norway,Akershus County,3 to 14,1992,"65,688",34,0.52,,,,,"childhood autism, atypical autism, disintegrative disorder, Asperger syndrome"
Sweden,Karlstad,6.7 to 7.7,1992,826,10,12.1,,,,,"autistic disorder, Asperger syndrome, other autistic-like conditions"
England,North Thames,0 to 15,1998,"492,453",498,1.01,,,37 (core autism) 42 (atypical autism) 73 (Asperger's syndrome),,"core autism, atypical autism, Asperger syndrome"
USA,Nationwide,0 to 17,1992-1994,"99,513",46,0.38,,,,,infantile autism
England,South East Thames,1.5 to 8,1998,"16,235",94,5.79,,,,,"childhood autism, Asperger syndrome, PDD (including atypical autism)"
USA,Missouri,0 to 15,1995,,,0.14,,,,,autism
England,West Midlands,1 to 4,1995,"29,200",59,2.02,,,,,"autistic disorder, PDD, Asperger syndrome, atypical autism, OMRS, Rett syndrome"
Finland,North (Oulu and Lapland),5 to 18,1996-1997,"152,732",187,1.39,,,,,"autism, autistic-like conditions"
Iceland,Nationwide,5 to 14,1997,"43,153",57,1.32,26-165,,48,39,"infantile autism, childhood autism, atypical autism"
United Kingdom,England; Wales; Scotland,5 to 15,1999,"12,529",27,2.61,,,,,PDD (not specified)
England,Staffordshire,2.5 to 6.5,1998,"15,500",97,6.26,21-78,41,,30,"PDD (AD, Asperger syndrome, Rett syndrome, PDD-NOS, childhood disintegrative disorder)"
USA,"Brick Township, NJ",3 to 10,1998,"8,996",60,6.7,,,,,"AD, PDD-NOS, Asperger syndrome"
USA,California,0 to 12,1987-1999,"4,590,333","5,038",1.1,,,,,full syndrome autism
England,Cambridgeshire,5 to 11,1999,"34,262",196,5.7,,,,,autism spectrum condition
USA,"Atlanta, GA",3 to 10,1996,"289,456",987,3.4,,45,,,"autistic disorder, PDD-NOS, Asperger syndrome"
USA,Minnesota,6 to 17,1981-2002,,,6.6,,,,,"autism, PDD-NOS, Asperger syndrome, Rett syndrome, childhood disintegrative disorder"
England,North East London,5 to 14,2000,"186,206",567,3.05,,,40 (childhood) 51 (atypical) 97 (Asperger's),,ASD (not specified)
Wales,Cardiff,7 to 11,1998,"11,692",17,2.02,,,,,"high functioning autism, asperger syndrome, PDD-NOS"
USA,Nationwide,,,"3,891,494","10,813",2.78,,,,,autism
Australia,Barwon,2 to 17,2002,"45,153",177,3.92,27-195,,,7,"ASD (autistic disorder, Asperger's syndrome, PDD-NOS)"
England,Kent,8 to 9,2000,"2,536",21,8.28,33-113,60,53,,"PDD (childhood autism, Asperger's syndrome, and autistic spectrum disorder)"
Denmark,Nationwide,0 to 9,2001,"682,397","2,061",3.02,,,,,"childhood autism, atypical autism, Asperger syndrome, PDD-NOS"
England,Stafford; Cannock,4 to 6,2002,"10,903",64,5.87,,37.8,,,"PDD (autistic disorder, PDD-NOS, Asperger syndrome, childhood disintegrative disorder)"
Japan,Yokohama,5,1994-1997,"8,250",34,4.12,,,,,childhood autism
USA,Nationwide,6,2000,,,2.41,,,,,autism
Spain,Catalonia,3 to 6,,"1,104",19,17.2,,,,,autistic disorder; Asperger syndrome
China,Tianjin,2 to 6,,"7,345",8,1.1,,,,,autistic disorder
Canada,Montreal; Quebec,5 to 21,1987-1998,"27,749",180,6.49,,,,,"PDD (autistic disorder, PDD-NOS, Asperger syndrome)"
USA,Nationwide,0 to 17,2003,"102,353",,5,,,,,autism
England,South Thames,9 to 10,1990-1991,"56,946",158,11.61,,,,,ASD (not specified)
Sweden,Gîtenburg,7 to 24,2001,"102,485",546,5.33,,,,,"ASD (infantile autism, autistic disorder, childhood disintegrative disorder, PDD-NOS, Asperger syndrome)"
Scotland,Lothian,0 to 14,2001,"134,661",443,4.42,,,,,ASD (not specified)
Canada,Manitoba; Prince Edward Island,1 to 14,2002,"227,526",662,2.91,,,44.4 (Manitoba) 43.2 (Prince Edward Island),,"PDD/ASD (AD, PDD-NOS, Asperger syndrome, Rett syndrome, childhood disintegrative disorder)"
Denmark,County of Funen,8 to 9,2000,690,11,11,,,,,"PDD (autistic disorder, Asperger syndrome)"
USA,Nationwide,6 to 11,2003,,,3.1,,,,,autism
USA,Arizona; Georgia; Maryland; New Jersey; South Carolina; West Virginia,8,2000,"187,761","1,252",6.7,12-106,,52-56,,"ASD (autistic disorder, Asperger syndrome, PDD-NOS)"
USA,Alabama; Arizona; Arkansas; Colorado; Georgia; Maryland; Missouri; New Jersey; North Carolina; Pennsylvania; South Carolina; Utah; West Virginia; Wisconsin,8,2002,"407,578","2,685",6.6,,,49-66,,"ASD (autistic disorder, Asperger syndrome, PDD-NOS)"
Canada,British Colombia,4 to 9,1996-2004,"2,240,537","1,003",4.31,,,,,autistic disorder
Denmark,Faroe Islands,8 to 17,2002,"7,689",43,5.6,,,,,"childhood autism, atypical autism, Asperger syndrome, childhood disintegrative disorder"
USA,Northern California,5 to 10,2005,"132,844",593,4.5,,,,,"ASD (autistic disorder, PDD-NOS, Asperger syndrome)"
Wales,Rhondda; Taff Ely districts,0 to 17,1994-2003,"39,220",240,6.12,,66,,,"ASD (Kanner autism, Asperger syndrome, 'other forms' which include atypical autism, mental retardation, fragile x, and other conditions associated with autism)"
Portugal,Mainland; Azores,6 to 9,2000,,,0.92,,,,,ASD (not specified)
United Arab Emirates,Dubai; Al Ain in Abu Dhabi Emirate; Ras Al-Khaimah,3,,694,2,2.9,,,,,PDD
Canada,British Colombia,4 to 9,2004,"232,945","1,003",4.31,,,,,ASD (not specified)
Denmark,Nationwide,9,2006,"132,607",714,6.19,,5.3,,,"ASD, childhood autism"
