Year Published,Country,Area(s),Age Range,Study Years,Case Identification Method,Sample Size,Number of Cases,"ASD Prevalence Estimate per 1,000",Autism Types Included
1966,England,County of Middlesex,8 to 10,1964,survey (mail); health records,"78,000",35,0.45,autistic conditions
1970,USA,Wisconsin,2 to 12,1962-1967,health records,"899,750",69,0.077,classic infantile autism
1972,Denmark,èarhus County,2 to 14,1962,health records; service provider records,"46,500",20,0.43,autistic syndrome
1976,England,Camberwall,5 to 14,1974,registry; survey (unspecified),"25,000",12,4.48,early childhood autism
1979,England,Camberwell,0 to 14,1970,registry; service provider records,"35,000",17,0.49,autism
1982,Japan,Fukushima-ken,0 to 17,1977-1979,survey (mail),"609,848",320,0.525,"early infantile autism, autistic mental retardation"
1983,Sweden,VÑsterbotten County,0 to 20,1979,survey (mail),"69,000",39,0.56,early infantile autism
1984,Ireland,East,8 to 10,1979,survey (mail),"65,000",28,0.43,childhood autism
1984,Sweden,Gothenburg,4 to 18,1980,survey (unspecified),"128,584",26,0.2,infantile autism
1986,Germany,West Berlin,0 to 14,1978-1982,health records,"279,616",52,0.19,infantile autism
1986,Sweden,Gothenburg; BohuslÑn,0 to 10,1984,health records; registry,"78,413",35,0.66,"infantile autism, autistic-like conditions"
1987,Japan,Kurume,4 to 12,1983,health records; education records,"32,834",51,1.55,infantile autism
1987,USA,North Dakota,2 to 18,1985,health records; education records,"180,986",59,0.33,"infantile autism, childhood onset PDD, atypial PDD, all PDD"
1988,Canada,Nova Scotia,6 to 14,1985,survey (unspecified),"20,800",21,1.01,autism
1988,Japan,Southern Ibaraki,7,1977-1985,health records; service provider records; education records,"95,394",132,1.38,infantile autism
1989,France,Rhìne,3 to 9,1986,survey (unspecified),"135,180",61,0.45,"simple autism, autism with major neurological abnormalities"
1989,Japan,Nagoya,1.5 to 5 .5,1979-1984,health records,"12,263",16,1.3,autism
1989,USA,Utah,8 to 12,1984-1988,survey (mail); health records; education records; service provider records; other (media campaign),"184,822",66,0.357,autism syndrome
1991,Sweden,Gîteborg; BohuslÑn,4 to 13,1988,registry; health records,"78,106",74,0.95,"autistic disorder, autistic-like conditions"
1992,Indonesia,Yogyakart,4 to 7,1991,other (reserchers conducted initial screening using Bryson Screening Test),"5,120",6,1.2,autism
1992,France,Aquitaine; Ile-de-France; Lorraine; Picardie,9 to 13,1985,other (government administrative data),"274,816",154,0.49,infantile autism
1996,Japan,Yokohama,5,1994,health records,"8,537",18,2.11,childhood autism
1997,France,Haute-Garonne; Isäre; Saìne-et-Loire,6 to 16,1992-1993,service provider records,"325,347",174,0.54,infantile autism
1997,Sweden,Mîlnlycke,3 to 6,1994,health records,"1,941",9,4.6,"childhood autism, early infantile autism, autism-like conditions"
1997,Wales,South Glamorgan,3 to 15,1992,health records; education records; survey (mail),"73,300",53,0.72,autistic disorder
1998,Norway,Akershus County,3 to 14,1992,health records,"65,688",34,0.52,"childhood autism, atypical autism, disintegrative disorder, Asperger syndrome"
1999,Sweden,Karlstad,6.7 to 7.7,1992,survey (mail),826,10,12.1,"autistic disorder, Asperger syndrome, other autistic-like conditions"
1999,England,North Thames,0 to 15,1998,special needs registry; education records,"492,453",498,1.01,"core autism, atypical autism, Asperger syndrome"
1999,USA,Nationwide,0 to 17,1992-1994,survey (in-person),"99,513",46,0.38,infantile autism
2000,England,South East Thames,1.5 to 8,1998,survey (mail); health records; education records,"16,235",94,5.79,"childhood autism, Asperger syndrome, PDD (including atypical autism)"
